year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,hour_of_day
2024,7,31,3,2024-07-31,9E,5132.0,GSO,"Greensboro/High Point, NC",North Carolina,LGA,"New York, NY",New York,1455,1546.0,51.0,,,,,1637,,,1,C,0,102.0,,,461.0,0,0,0,0,0,14
2024,10,9,3,2024-10-09,AA,3139.0,MCO,"Orlando, FL",Florida,ORD,"Chicago, IL",Illinois,1521,,,,,,,1724,,,1,B,0,183.0,,,1005.0,0,0,0,0,0,15
2024,2,29,4,2024-02-29,OO,3486.0,SLC,"Salt Lake City, UT",Utah,SFO,"San Francisco, CA",California,1716,,,,,,,1834,,,1,C,0,138.0,,,599.0,0,0,0,0,0,17
2024,7,18,4,2024-07-18,NK,426.0,LAS,"Las Vegas, NV",Nevada,PDX,"Portland, OR",Oregon,823,,,,,,,1040,,,1,A,0,137.0,,,763.0,0,0,0,0,0,8
2024,4,2,2,2024-04-02,OO,5427.0,ORD,"Chicago, IL",Illinois,MSN,"Madison, WI",Wisconsin,1540,,,,,,,1641,,,1,C,0,61.0,,,108.0,0,0,0,0,0,15
2024,7,20,6,2024-07-20,UA,774.0,IAH,"Houston, TX",Texas,EWR,"Newark, NJ",New Jersey,1620,,,,,,,2107,,,1,A,0,227.0,,,1400.0,0,0,0,0,0,16
2024,1,16,2,2024-01-16,WN,471.0,LGA,"New York, NY",New York,MDW,"Chicago, IL",Illinois,1725,,,,,,,1905,,,1,B,0,160.0,,,725.0,0,0,0,0,0,17
2024,12,29,7,2024-12-29,UA,1741.0,SAT,"San Antonio, TX",Texas,EWR,"Newark, NJ",New Jersey,1210,,,,,,,1655,,,1,B,0,225.0,,,1569.0,0,0,0,0,0,12
2024,10,8,2,2024-10-08,WN,225.0,BWI,"Baltimore, MD",Maryland,MCO,"Orlando, FL",Florida,1750,,,,,,,2015,,,1,B,0,145.0,,,787.0,0,0,0,0,0,17
2024,6,3,1,2024-06-03,OH,5111.0,DCA,"Washington, DC",Virginia,GSO,"Greensboro/High Point, NC",North Carolina,2200,,,,,,,2312,,,1,B,0,72.0,,,248.0,0,0,0,0,0,22
2024,10,10,4,2024-10-10,WN,1204.0,RSW,"Fort Myers, FL",Florida,MDW,"Chicago, IL",Illinois,630,,,,,,,820,,,1,B,0,170.0,,,1105.0,0,0,0,0,0,6
2024,5,22,3,2024-05-22,AA,2501.0,VPS,"Valparaiso, FL",Florida,DFW,"Dallas/Fort Worth, TX",Texas,1549,,,,,,,1805,,,1,B,0,136.0,,,641.0,0,0,0,0,0,15
2024,7,18,4,2024-07-18,NK,1111.0,SJU,"San Juan, PR",Puerto Rico,DFW,"Dallas/Fort Worth, TX",Texas,2024,,,,,,,36,,,1,B,0,312.0,,,2165.0,0,0,0,0,0,20
2024,1,8,1,2024-01-08,AS,320.0,SAN,"San Diego, CA",California,MCO,"Orlando, FL",Florida,1149,1141.0,-8.0,,,,,1929,,,1,A,0,280.0,,,2149.0,0,0,0,0,0,11
2024,7,20,6,2024-07-20,AA,1406.0,DFW,"Dallas/Fort Worth, TX",Texas,SAT,"San Antonio, TX",Texas,2052,,,,,,,2200,,,1,A,0,68.0,,,247.0,0,0,0,0,0,20
2024,12,26,4,2024-12-26,AA,2707.0,DFW,"Dallas/Fort Worth, TX",Texas,AUS,"Austin, TX",Texas,2045,,,,,,,2155,,,1,B,0,70.0,,,190.0,0,0,0,0,0,20
2024,12,2,1,2024-12-02,HA,41.0,SFO,"San Francisco, CA",California,OGG,"Kahului, HI",Hawaii,955,,,,,,,1330,,,1,A,0,335.0,,,2338.0,0,0,0,0,0,9
